,H
aahed,1.219731368
aalii,1.114575425
aargh,1.197061846
aarti,1.283751382
abaca,1.005125702
abaci,1.136012425
aback,1.068456099
abacs,1.141997084
abaft,1.119373272
abaka,0.939405448
abamp,1.063462695
aband,1.145024573
abase,1.259551637
abash,1.149746888
abask,1.103167851
abate,1.267820279
abaya,0.972155953
abbas,0.998684899
abbed,1.149642847
abbes,1.171951098
abbey,1.142848605
abbot,1.153070417
abcee,1.23986561
abeam,1.148102741
abear,1.251063652
abele,1.276933783
abers,1.339522958
abets,1.322901333
abhor,1.261760164
abide,1.314277718
abies,1.336807664
abled,1.311414476
abler,1.365429768
ables,1.333688261
ablet,1.375569626
ablow,1.188409543
abmho,1.152874134
abode,1.309717466
abohm,1.173916958
aboil,1.298321749
aboma,1.098448863
aboon,1.162127316
abord,1.286256108
abore,1.386845927
abort,1.34971705
about,1.277203857
above,1.243671758
abram,1.141108822
abray,1.163334485
abrim,1.250350315
abrin,1.306839693
abris,1.297489242
absey,1.288903834
absit,1.299621115
abuna,1.120403987
abune,1.317786052
abuse,1.328259121
abuts,1.251185397
abuzz,0.928592745
abyes,1.274590269
abysm,1.176277553
abyss,1.089385985
acais,1.210711112
acari,1.232750558
accas,1.047589934
accoy,1.138407792
acerb,1.322851864
acers,1.378805009
aceta,1.25141841
achar,1.191135005
ached,1.282927388
aches,1.303519179
achoo,1.131882707
acids,1.2662571
acidy,1.243571426
acing,1.25237009
acini,1.17207278
ackee,1.215589679
acker,1.308862553
acmes,1.304815153
acmic,1.105683879
acned,1.342369626
acnes,1.361572632
acock,1.106571536
acold,1.307932461
acorn,1.360860557
acred,1.377689439
acres,1.397084163
acrid,1.318130146
acros,1.339293648
acted,1.35232065
actin,1.326827581
acton,1.327073561
actor,1.37178582
acute,1.375334884
acyls,1.264424826
adage,1.217440904
adapt,1.178499917
adaws,1.095472059
adays,1.134854902
adbot,1.259968853
addax,0.894619774
added,1.066899055
adder,1.241512405
addio,1.138208337
addle,1.242005332
adeem,1.22077657
adept,1.318611157
adhan,1.127782459
adieu,1.311717376
adios,1.293900166
adits,1.311671708
adman,1.126513129
admen,1.299219845
admin,1.235442708
admit,1.265139556
admix,1.090980436
adobe,1.304654112
adobo,1.108371808
adopt,1.286221176
adore,1.410624534
adorn,1.342114779
adown,1.212184799
adoze,1.227361893
adrad,1.088346991
adred,1.257722977
adsum,1.196621893
aduki,1.153691184
adult,1.311716831
adunc,1.23553934
adust,1.307198255
advew,1.163154447
adyta,1.134917723
adzed,1.073870374
adzes,1.198013138
aecia,1.248361177
aedes,1.285383772
aegis,1.335234161
aeons,1.403553599
aerie,1.378339936
aeros,1.427473883
aesir,1.444011213
afald,1.143172324
afara,1.04430828
afars,1.181440273
afear,1.236803696
affix,0.954088669
afire,1.37747872
aflaj,1.00301596
afoot,1.179095946
afore,1.370393528
afoul,1.247876718
afrit,1.326408762
afros,1.287290664
after,1.358597469
again,1.18807609
agama,0.972395497
agami,1.103698949
agape,1.207958561
agars,1.201796006
agast,1.221401071
agate,1.271512563
agave,1.150101031
agaze,1.108472497
agene,1.266666209
agent,1.348715521
agers,1.347007341
agger,1.219417514
aggie,1.204256784
aggri,1.138213322
aggro,1.15608866
aggry,1.122477911
aghas,1.101491635
agila,1.183036007
agile,1.38107653
aging,1.12754465
agios,1.278593135
agism,1.243236476
agist,1.329099582
agita,1.183598262
aglee,1.286948468
aglet,1.379406047
agley,1.31100818
agloo,1.162176859
aglow,1.196826742
aglus,1.23905291
agmas,1.099885329
agoge,1.206721144
agone,1.354348471
agons,1.28112716
agony,1.258682613
agood,1.137260879
agora,1.20125896
agree,1.309528266
agria,1.19263212
agrin,1.312312326
agros,1.307985978
agued,1.282200058
agues,1.304236315
aguna,1.125597379
aguti,1.241367503
ahead,1.213352746
aheap,1.201406338
ahent,1.384538693
ahigh,1.121381373
ahind,1.287253671
ahing,1.252859288
ahint,1.349122483
ahold,1.305919144
ahull,1.183767975
ahuru,1.159310403
aidas,1.200633665
aided,1.239177918
aider,1.404761358
aides,1.368013341
aidoi,1.160921788
aidos,1.302652254
aiery,1.393668941
aigas,1.18442528
aight,1.269826382
ailed,1.396371953
aimed,1.327710258
aimer,1.38736163
ainee,1.347810532
ainga,1.167782934
aioli,1.2286904
