judge,word
00000,clint
00001,elite
00002,guilt
00010,guilt
00011,deice
00012,guimp
00020,fitch
00021,terfe
00022,abets
00100,clint
00101,alant
00102,gault
00110,diact
00111,table
00112,bract
00120,humid
00121,leant
00122,abaft
00200,clink
00201,lethe
00202,glitz
00210,clint
00211,cetyl
00212,bract
00220,dhuti
00221,lefty
00222,abaft
01000,clint
01001,dolce
01002,bling
01010,choon
01011,rotor
01012,prunt
01020,myoid
01021,abmho
01022,aahed
01100,tolan
01101,adman
01102,bundt
01110,barry
01111,aahed
01112,aahed
01120,adobo
01121,aahed
01122,aahed
01200,acyls
01201,aahed
01202,aahed
01210,abord
01211,aahed
01212,aahed
01220,aahed
01221,aahed
01222,aahed
02000,culty
02001,linum
02002,cloud
02010,myrrh
02011,rewet
02012,faugh
02020,adult
02021,aahed
02022,aahed
02100,liman
02101,aahed
02102,aahed
02110,cabal
02111,aahed
02112,aahed
02120,aahed
02121,aahed
02122,aahed
02200,acyls
02201,aahed
02202,aahed
02210,aahed
02211,aahed
02212,aahed
02220,aahed
02221,aahed
02222,aahed
10000,thilk
10001,sleet
10002,glint
10010,stuck
10011,seine
10012,perse
10020,skint
10021,adept
10022,aahed
10100,slant
10101,spalt
10102,spalt
10110,chapt
10111,phene
10112,print
10120,kempt
10121,chant
10122,chant
10200,thilk
10201,sloth
10202,stuck
10210,chapt
10211,canst
10212,canst
10220,kempt
10221,chant
10222,chant
11000,cloot
11001,stoln
11002,cloth
11010,stown
11011,sprew
11012,potch
11020,itchy
11021,chant
11022,chant
11100,talon
11101,aahed
11102,aahed
11110,acton
11111,aahed
11112,aahed
11120,aahed
11121,aahed
11122,aahed
11200,attic
11201,aahed
11202,aahed
11210,aahed
11211,aahed
11212,aahed
11220,aahed
11221,aahed
11222,aahed
12000,bunty
12001,pilum
12002,pilum
12010,about
12011,sprew
12012,aargh
12020,aahed
12021,aahed
12022,aahed
12100,attic
12101,aahed
12102,aahed
12110,aband
12111,aahed
12112,aahed
12120,aahed
12121,aahed
12122,aahed
12200,attic
12201,aahed
12202,aahed
12210,aahed
12211,aahed
12212,aahed
12220,aahed
12221,aahed
12222,aahed
20000,thilk
20001,clipt
20002,pling
20010,thump
20011,penie
20012,cheep
20020,filth
20021,adept
20022,aahed
20100,plant
20101,platt
20102,klutz
20110,chapt
20111,hanap
20112,chant
20120,kempt
20121,chant
20122,chant
20200,thilk
20201,thilk
20202,thilk
20210,kempt
20211,chant
20212,chant
20220,kempt
20221,chant
20222,chant
21000,cloot
21001,clint
21002,clint
21010,chant
21011,notch
21012,chant
21020,itchy
21021,chant
21022,chant
21100,ablow
21101,aahed
21102,aahed
21110,aalii
21111,aahed
21112,aahed
21120,aahed
21121,aahed
21122,aahed
21200,aahed
21201,aahed
21202,aahed
21210,aahed
21211,aahed
21212,aahed
21220,aahed
21221,aahed
21222,aahed
22000,atony
22001,aahed
22002,aahed
22010,aahed
22011,abaca
22012,aahed
22020,aahed
22021,aahed
22022,aahed
22100,aahed
22101,aahed
22102,aahed
22110,aalii
22111,aahed
22112,aahed
22120,aahed
22121,aahed
22122,aahed
22200,aahed
22201,aahed
22202,aahed
22210,aahed
22211,aahed
22212,aahed
22220,aahed
22221,aahed
22222,aahed
